#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6
1,Atletico Madrid,19,16,2,1,40,10,30,50,       
2,Barcelona,20,12,4,4,41,18,23,40,       
3,Real Madrid,20,12,4,4,35,18,17,40,       
4,Sevilla,20,12,3,5,28,16,12,39,       
5,Villarreal,21,8,11,2,29,20,9,35,       
6,Real Sociedad,21,8,8,5,32,19,13,32,       
7,Real Betis,21,9,3,9,27,34,-7,30,       
8,Granada,21,8,5,8,24,34,-10,29,       
9,Levante,20,6,8,6,29,29,0,26,       
10,Celta Vigo,21,6,7,8,24,31,-7,25,       
11,Athletic Bilbao,20,7,3,10,27,25,2,24,       
12,Getafe,20,6,6,8,17,23,-6,24,       
13,Cadiz,21,6,6,9,19,31,-12,24,       
14,Valencia,21,5,8,8,27,29,-2,23,       
15,Eibar,21,4,8,9,17,23,-6,20,       
16,Real Valladolid,21,4,8,9,21,32,-11,20,       
17,Osasuna,21,4,7,10,19,30,-11,19,       
18,Alaves,21,4,7,10,18,29,-11,19,       
19,Elche,19,3,8,8,16,26,-10,17,       
20,SD Huesca,21,2,10,9,17,30,-13,16,       
