#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6
1,Lille,23,15,6,2,40,15,25,51,       
2,Lyon,23,14,7,2,47,20,27,49,       
3,Paris Saint-Germain,23,15,3,5,53,14,39,48,       
4,Monaco,23,14,3,6,46,32,14,45,       
5,Rennes,22,10,7,5,31,24,7,37,       
6,Metz,23,9,8,6,28,21,7,35,       
7,RC Lens,23,10,5,8,34,33,1,35,       
8,Angers,23,10,4,9,29,34,-5,34,       
9,Marseille,21,9,6,6,29,24,5,33,       
10,Bordeaux,23,9,5,9,26,27,-1,32,       
11,Montpellier,23,8,5,10,35,42,-7,29,       
12,Reims,23,7,7,9,30,31,-1,28,       
13,Brest,23,8,3,12,35,43,-8,27,       
14,Nice,22,7,5,10,24,31,-7,26,       
15,Strasbourg,23,7,4,12,32,36,-4,25,       
16,St Etienne,23,5,8,10,22,36,-14,23,       
17,Nantes,23,3,10,10,22,37,-15,19,       
18,Lorient,22,5,4,13,27,43,-16,19,       
19,Dijon,23,2,9,12,15,32,-17,15,       
20,Nimes,22,4,3,15,17,47,-30,15,       
